Town,Value,Crime,Charles,Old,School
Nahant,24,Low,N,65.2,95.02
Swampscott,21.6,Low,N,78.9,90.86
Swampscott,34.7,Low,N,61.1,95.97
Marblehead,33.4,Low,N,45.8,97.06
Marblehead,36.2,Low,N,54.2,94.67
Marblehead,28.7,Low,N,58.7,94.79
Salem,22.9,Low,N,66.6,87.57
Salem,22.1,Low,N,96.1,80.85
Salem,16.5,Low,N,100,70.07
Salem,18.9,Low,N,85.9,82.9
Salem,15,Low,N,94.3,79.55
Salem,18.9,Low,N,82.9,86.73
Salem,21.7,Low,N,39,84.29
Lynn,20.4,Low,N,61.8,91.74
Lynn,18.2,Low,N,84.5,89.74
Lynn,19.9,Low,N,56.5,91.53
Lynn,23.1,Moderate,N,29.3,93.42
Lynn,17.5,Low,N,81.7,85.33
Lynn,20.2,Low,N,36.6,88.31
Lynn,18.2,Low,N,69.5,88.72
Lynn,13.6,Moderate,N,98.1,78.98
Lynn,19.6,Low,N,89.2,86.17
Lynn,15.2,Moderate,N,91.7,81.28
Lynn,14.5,Low,N,100,80.12
Lynn,15.6,Low,N,94.1,83.7
Lynn,13.9,Low,N,85.7,83.49
Lynn,16.6,Low,N,90.3,85.19
Lynn,14.8,Low,N,88.8,82.72
Lynn,18.4,Low,N,94.4,87.2
Lynn,21,Moderate,N,87.3,88.02
Lynn,12.7,Moderate,N,94.1,77.4
Lynn,14.5,Moderate,N,100,86.96
Lynn,13.2,Moderate,N,82,72.29
Lynn,13.1,Moderate,N,95,81.65
Lynn,13.5,Moderate,N,96.9,79.66
Sargus,18.9,Low,N,68.2,90.32
Sargus,20,Low,N,61.4,88.59
Sargus,21,Low,N,41.5,91.23
Sargus,24.2,Low,N,30.2,89.87
Lynnfield,30.8,Low,N,21.8,95.68
Lynnfield,34.9,Low,N,15.8,98.02
Peabody,26.6,Low,N,2.9,95.16
Peabody,25.3,Low,N,6.6,94.19
Peabody,24.7,Low,N,6.5,92.56
Peabody,21.2,Low,N,40,90.45
Peabody,19.3,Low,N,33.8,89.79
Peabody,20,Low,N,33.3,85.85
Peabody,16.6,Low,N,85.5,81.2
Peabody,14.4,Low,N,95.3,69.19
Peabody,19.4,Low,N,62,83.8
Danvers,19.7,Low,N,45.7,86.55
Danvers,20.5,Low,N,63,90.57
Danvers,25,Low,N,21.1,94.72
