source,prediction,detector,native,model,id
Human,AI,Sapling,No,Human,497
Human,AI,Crossplag,No,Human,278
Human,Human,Crossplag,Yes,Human,294
AI,Human,ZeroGPT,NA,GPT3,671
AI,Human,OriginalityAI,NA,GPT4,717
Human,Human,HFOpenAI,Yes,Human,855
AI,AI,HFOpenAI,NA,GPT3,533
AI,Human,Crossplag,NA,GPT4,484
Human,Human,ZeroGPT,Yes,Human,781
Human,AI,Sapling,No,Human,460
AI,AI,Quil,NA,GPT3,591
AI,Human,OriginalityAI,NA,GPT3,11
Human,Human,OriginalityAI,Yes,Human,194
AI,Human,ZeroGPT,NA,GPT4,261
AI,AI,ZeroGPT,NA,GPT3,531
AI,Human,Sapling,NA,GPT4,170
Human,AI,OriginalityAI,No,Human,306
AI,AI,GPTZero,NA,GPT4,169
Human,AI,HFOpenAI,No,Human,302
AI,Human,Sapling,NA,GPT3,5
AI,Human,Crossplag,NA,GPT4,554
AI,Human,Crossplag,NA,GPT3,672
Human,Human,Crossplag,Yes,Human,47
AI,Human,ZeroGPT,NA,GPT4,380
Human,Human,GPTZero,Yes,Human,808
AI,Human,Crossplag,NA,GPT4,270
AI,Human,ZeroGPT,NA,GPT4,162
Human,Human,Crossplag,Yes,Human,164
Human,AI,Quil,No,Human,400
AI,Human,Quil,NA,GPT3,12
Human,Human,Quil,No,Human,274
Human,Human,Sapling,Yes,Human,419
AI,Human,GPTZero,NA,GPT3,563
AI,AI,OriginalityAI,NA,GPT3,10
Human,Human,HFOpenAI,Yes,Human,777
AI,Human,HFOpenAI,NA,GPT4,78
Human,Human,ZeroGPT,Yes,Human,797
AI,AI,Quil,NA,GPT4,509
Human,Human,Sapling,Yes,Human,456
AI,Human,OriginalityAI,NA,GPT3,703
AI,AI,Sapling,NA,GPT4,697
Human,Human,OriginalityAI,Yes,Human,104
Human,Human,Sapling,Yes,Human,917
AI,Human,HFOpenAI,NA,GPT4,197
AI,Human,Crossplag,NA,GPT4,654
Human,Human,Sapling,Yes,Human,252
AI,Human,Quil,NA,GPT3,671
AI,Human,GPTZero,NA,GPT3,20
AI,Human,Crossplag,NA,GPT4,622
Human,Human,HFOpenAI,Yes,Human,331
AI,Human,ZeroGPT,NA,GPT4,305
AI,AI,Sapling,NA,GPT4,92
AI,Human,ZeroGPT,NA,GPT4,449
AI,AI,HFOpenAI,NA,GPT3,10
AI,Human,OriginalityAI,NA,GPT4,285
AI,AI,Quil,NA,GPT4,346
Human,AI,Sapling,No,Human,329
Human,Human,HFOpenAI,Yes,Human,132
AI,Human,Crossplag,NA,GPT3,896
Human,Human,Crossplag,No,Human,264
AI,Human,Crossplag,NA,GPT4,339
AI,AI,ZeroGPT,NA,GPT4,330
Human,Human,HFOpenAI,Yes,Human,473
Human,Human,ZeroGPT,Yes,Human,224
AI,Human,ZeroGPT,NA,GPT4,648
Human,Human,Sapling,Yes,Human,540
Human,AI,HFOpenAI,No,Human,249
Human,Human,ZeroGPT,Yes,Human,926
Human,AI,HFOpenAI,No,Human,280
AI,Human,ZeroGPT,NA,GPT3,3
AI,Human,ZeroGPT,NA,GPT3,205
AI,Human,GPTZero,NA,GPT4,680
Human,Human,HFOpenAI,Yes,Human,788
AI,Human,HFOpenAI,NA,GPT3,384
Human,Human,GPTZero,No,Human,450
AI,Human,Crossplag,NA,GPT4,463
AI,AI,Crossplag,NA,GPT3,442
Human,Human,OriginalityAI,Yes,Human,748
Human,Human,HFOpenAI,Yes,Human,194
AI,AI,Sapling,NA,GPT3,537
AI,Human,Quil,NA,GPT4,517
AI,AI,Sapling,NA,GPT3,587
Human,Human,OriginalityAI,Yes,Human,855
Human,Human,Quil,No,Human,418
AI,Human,Sapling,NA,GPT3,203
Human,Human,GPTZero,Yes,Human,766
AI,Human,Crossplag,NA,GPT3,588
AI,AI,Sapling,NA,GPT3,71
Human,Human,HFOpenAI,No,Human,260
AI,Human,Sapling,NA,GPT4,162
AI,AI,HFOpenAI,NA,GPT3,510
AI,Human,OriginalityAI,NA,GPT4,710
AI,Human,HFOpenAI,NA,GPT4,504
Human,AI,ZeroGPT,No,Human,334
AI,Human,Crossplag,NA,GPT4,601
Human,Human,Quil,Yes,Human,125
Human,Human,Quil,Yes,Human,94
AI,Human,ZeroGPT,NA,GPT3,918
Human,Human,HFOpenAI,Yes,Human,768
AI,Human,Quil,NA,GPT3,382
