students,native,summer,rating
19,Yes,Summer,High
17,No,Summer,High
49,Yes,Regular,High
33,Yes,Regular,High
55,No,Regular,High
20,No,Summer,High
19,No,Regular,High
27,No,Regular,High
58,Yes,Summer,High
20,No,Summer,High
9,No,Regular,High
30,No,Regular,High
29,No,Regular,High
39,No,Regular,High
42,No,Regular,Medium
43,No,Regular,Medium
10,No,Regular,Medium
46,No,Regular,Medium
10,No,Summer,Medium
42,No,Regular,Medium
27,No,Regular,Medium
23,No,Regular,Medium
31,No,Regular,Medium
22,No,Summer,Medium
37,No,Regular,Medium
13,No,Regular,Medium
24,No,Regular,Medium
38,No,Regular,Medium
42,No,Regular,Low
28,No,Regular,Low
51,No,Regular,Low
19,No,Regular,Low
31,No,Regular,Low
13,Yes,Summer,Low
37,No,Regular,Low
36,No,Regular,Low
21,No,Regular,Low
48,No,Regular,Low
38,No,Regular,Low
19,Yes,Summer,High
17,No,Summer,High
49,Yes,Regular,High
33,Yes,Regular,High
55,No,Regular,High
20,No,Summer,High
19,No,Regular,High
27,No,Regular,High
58,Yes,Regular,High
20,No,Summer,High
9,No,Regular,High
30,No,Regular,High
29,No,Regular,High
39,No,Regular,High
42,No,Regular,Medium
43,No,Regular,Medium
10,No,Regular,Medium
46,No,Regular,Medium
10,No,Summer,Medium
42,No,Regular,Medium
27,No,Regular,Medium
23,No,Regular,Medium
31,No,Regular,Medium
22,No,Summer,Medium
37,No,Regular,Medium
13,No,Regular,Medium
24,No,Regular,Medium
38,No,Regular,Medium
42,No,Regular,Low
28,No,Regular,Low
51,No,Regular,Low
19,No,Regular,Low
31,No,Regular,Low
13,Yes,Summer,Low
37,No,Regular,Low
36,No,Regular,Low
21,No,Regular,Low
48,No,Regular,Low
38,No,Regular,Low
25,Yes,Summer,High
17,Yes,Summer,High
11,No,Regular,High
39,No,Regular,High
11,No,Summer,High
19,No,Regular,High
45,Yes,Regular,High
20,No,Summer,High
20,No,Summer,High
20,Yes,Summer,High
38,Yes,Regular,High
17,No,Regular,High
19,Yes,Regular,High
24,No,Regular,High
25,No,Regular,High
31,Yes,Regular,High
31,No,Regular,High
18,No,Regular,Medium
22,Yes,Regular,Medium
27,Yes,Regular,Medium
14,No,Regular,Medium
20,No,Regular,Medium
35,Yes,Regular,Medium
20,No,Summer,Medium
20,Yes,Summer,Medium
37,No,Regular,Medium
15,Yes,Regular,Medium
25,No,Regular,Medium
10,No,Regular,Medium
14,No,Regular,Low
38,Yes,Regular,Low
29,No,Regular,Low
19,No,Regular,Low
30,No,Regular,Low
32,Yes,Regular,Low
27,No,Regular,Low
34,No,Regular,Low
23,No,Regular,Low
66,No,Regular,Low
12,No,Regular,Low
29,No,Regular,Low
19,No,Regular,Low
3,No,Regular,Low
17,No,Regular,High
7,No,Regular,High
21,Yes,Regular,High
36,No,Regular,High
54,Yes,Regular,High
29,Yes,Regular,High
45,No,Regular,High
11,No,Regular,Medium
16,No,Regular,Medium
18,No,Regular,Medium
44,Yes,Regular,Medium
17,No,Regular,Medium
21,No,Regular,Medium
20,No,Regular,Medium
24,No,Regular,Medium
5,No,Regular,Medium
42,No,Regular,Medium
30,No,Regular,Low
19,No,Regular,Low
11,No,Regular,Low
29,No,Regular,Low
15,No,Regular,Low
37,No,Regular,Low
10,No,Regular,Low
24,No,Regular,Low
26,No,Regular,Low
12,No,Regular,Low
48,Yes,Regular,Low
51,No,Regular,Low
27,No,Regular,Low
