State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AL,town-distant,0.293739673,0.550761887,3.194418946,46.7413255,46.77804296,2.441711034,5447
AL,rural-distant,0.492350976,0.298927378,1.072621769,21.29417971,75.80446633,1.037453842,5687
AL,city-small,0.093270197,6.679581002,24.68072894,7.755775578,56.70110489,4.089539389,13938
AL,suburban-large,0.593869732,8.917624521,20.37356322,5.114942529,60.69923372,4.300766284,10440
AL,suburban-large,0.304105423,1.064368981,23.01064369,12.46832235,60.61834769,2.53421186,1973
AL,town-distant,0.502302219,1.17203851,1.967350356,29.76140645,63.75052323,2.846379238,2389
AL,suburban-large,0.330469266,1.960784314,11.76470588,1.54218991,81.60387751,2.797973122,4539
AL,town-distant,0,1.080196399,40,6.677577741,50.11456628,2.127659574,3055
AL,town-remote,0.172018349,1.662844037,30.56192661,2.236238532,62.90137615,2.46559633,1744
AL,city-small,0,0.193330111,90.23682939,3.624939584,4.639922668,1.30497825,2069
AL,rural-fringe,0.344563553,1.339969372,0.153139357,2.565084227,94.48698315,1.110260337,2612
AL,town-fringe,0.721709007,1.847575058,20.81408776,18.2448037,51.99191686,6.379907621,3464
AL,suburban-small,0.248292986,0.496585971,15.39416511,7.82122905,71.32216015,4.717566729,1611
AL,suburban-large,1.538965291,1.604453176,15.42239686,1.473477407,78.22527832,1.735428946,3054
AL,suburban-large,0.473484848,0.284090909,70.35984848,3.125,25.75757576,0,1056
AL,suburban-large,3.034580099,0.917431193,10.44460127,0.776287932,82.42766408,2.399435427,1417
AL,suburban-large,0.179914949,1.324828263,19.21818777,17.84429179,58.42329081,3.009486425,6114
AL,suburban-large,0.345803207,2.986482238,13.92643823,28.60735618,51.52467777,2.609242377,3181
AL,rural-fringe,0.070921986,6.666666667,6.808510638,7.872340426,52.76595745,25.81560284,1410
AL,city-small,0.070232939,10.61687932,25.10827578,4.740723399,57.94217488,1.521713684,8543
AL,suburban-large,0.279359622,2.610938004,24.91672934,2.804340819,67.27194585,2.116686365,9307
AL,rural-fringe,0.371628116,1.063625296,12.6129301,8.255910809,73.36451592,4.331389761,31214
AL,rural-remote,0.354191263,0,81.3459268,11.9244392,6.021251476,0.354191263,847
AL,suburban-large,0.138696255,0.027739251,89.65325936,8.016643551,1.997226075,0.166435506,3605
AL,town-distant,0.121543604,0.212701307,22.12093589,2.795502887,73.86812519,0.881191127,3291
AL,city-midsize,0.172726488,0.233180758,91.07435875,6.326107609,1.213403575,0.980222817,23158
AL,rural-distant,0.41062492,0.179648402,1.308866932,14.8209932,82.75375337,0.526113178,7793
AL,town-distant,0.359389039,0.718778077,34.95058401,1.976639712,61.18598383,0.808625337,1113
AL,town-distant,0,0.203252033,84.14634146,14.43089431,1.219512195,0,1476
AL,town-distant,0.223570744,0.670712233,62.88725647,1.085915043,33.95081444,1.181731076,3131
AL,rural-fringe,0.281278128,0.765076508,14.27767777,4.162916292,79.77047705,0.742574257,8888
AL,town-distant,0.191728294,0.547795125,47.6855656,2.300739523,48.31552999,0.958641468,3651
AL,rural-distant,6.41631435,0.472519274,5.073364835,1.268341209,85.94876896,0.82069137,4021
AL,rural-distant,0.167612171,0.42547705,11.74574523,14.4662197,71.13202682,2.06291903,7756
AL,rural-remote,0.14114326,0,66.90190543,0.423429781,32.03952011,0.494001411,1417
AL,town-remote,0.297287254,0.520252694,65.1802304,1.040505388,32.14418432,0.817539948,2691
AL,rural-distant,0.051652893,0.154958678,16.78719008,5.423553719,74.3285124,3.254132231,1936
AL,rural-distant,0.229533282,0.114766641,5.317521041,3.213465953,89.86228003,1.262433053,2614
AL,rural-distant,2.048417132,0.512104283,4.283054004,2.60707635,88.78026071,1.769087523,2148
AL,rural-fringe,0.305460099,0.458190149,12.94387171,3.474608629,80.83237877,1.985490645,2619
AL,rural-fringe,0.753498385,0.322927879,69.96770721,1.82992465,26.58772874,0.538213132,1858
AL,rural-remote,0.102040816,0.102040816,43.26530612,4.387755102,50,2.142857143,980
AL,rural-distant,0.320410125,0.801025312,6.119833387,1.217558475,90.22749119,1.313681512,3121
AL,rural-remote,0.17444396,0.56694287,30.70213694,2.136938509,64.98037505,1.439162669,2293
AL,town-distant,0.355526826,2.003878474,0.775694893,7.950872657,86.61926309,2.294764059,3094
AL,rural-distant,0.242692835,0.242692835,0.780837818,8.008863564,85.81829693,4.906616018,9477
AL,rural-distant,0.38277512,0.446570973,16.87400319,3.444976077,76.90590112,1.945773525,3135
AL,town-distant,0.796812749,1.394422311,30.97609562,14.34262948,48.00796813,4.482071713,1004
AL,rural-distant,0,0.190779014,76.37519873,0.413354531,22.54372019,0.476947536,3145
AL,rural-distant,13.07769035,0.14407625,0.942037017,29.83486645,55.53585282,0.465477114,9023
AL,city-small,0.332950631,1.262916188,30.1836969,25.86681975,38.62227325,3.731343284,8710
AL,town-remote,0.174216028,1.219512195,50.21777003,3.963414634,43.68466899,0.740418118,2296
