year,month,day,state,magnitude,injuries,fatalities,propertydamage,length,width
2000,10,13,IA,1,0,0,80000,14,50
2000,10,20,KS,0,0,0,NA,1,100
2000,10,21,OK,0,0,0,2000,4,30
2000,10,22,TX,0,0,0,NA,0.3,0
2000,10,22,TX,0,0,0,30000,2.5,20
2000,10,22,OK,0,0,0,2000,4,30
2000,10,22,TX,0,0,0,3000,0.2,30
2000,10,22,OK,0,0,0,1000,0.2,30
2000,10,22,OK,0,0,0,NA,2.5,20
2000,10,22,OK,0,0,0,NA,0.1,10
2000,10,22,OK,1,0,0,120000,1.5,40
2000,10,22,OK,0,0,0,10000,3,20
2000,10,23,TX,0,0,0,50000,0.5,100
2000,10,23,NM,0,0,0,NA,0.1,20
2000,10,23,NM,0,0,0,NA,0.1,20
2000,10,23,TX,0,0,0,10000,0.4,50
2000,10,24,KS,0,0,0,NA,0.4,40
2000,10,24,TX,0,0,0,NA,0.1,50
2000,10,25,KS,0,0,0,NA,1.5,150
2000,10,27,KS,0,0,0,NA,0.2,80
2000,10,28,KS,1,0,0,NA,2,70
2000,10,28,KS,1,0,0,NA,1,70
2000,10,28,KS,0,0,0,NA,1,50
2000,10,28,KS,0,0,0,NA,0.4,70
2000,10,28,KS,0,0,0,NA,0.7,50
2000,10,28,KS,0,0,0,NA,0.5,50
2000,10,28,KS,0,0,0,NA,0.5,50
2000,10,28,TX,0,0,0,NA,3,20
2000,10,28,TX,0,0,0,10000,0.1,20
2000,10,29,NE,0,0,0,NA,1,10
2000,10,29,NE,0,0,0,NA,0.5,10
2000,10,29,NE,0,0,0,40000,7,40
2000,10,29,NE,1,0,0,120000,9,100
2000,10,29,NE,0,0,0,10000,3,50
2000,10,29,NE,0,0,0,NA,0.1,30
2000,10,29,NE,0,0,0,10000,2.5,50
2000,10,29,NE,0,0,0,1000,1,40
2000,10,29,NE,0,0,0,10000,2,50
2000,10,29,NE,1,0,0,100000,1,50
2000,10,31,KS,2,0,0,NA,12,240
2000,10,31,KS,0,0,0,NA,0.3,50
2000,10,31,KS,0,0,0,NA,7.5,70
2000,10,31,KS,1,0,0,NA,0.5,100
2000,10,31,KS,0,0,0,NA,0.5,100
2000,10,31,KS,1,0,0,NA,4,120
2000,10,31,NE,0,0,0,NA,3,100
2000,10,31,NE,1,0,0,160000,9,100
2000,10,31,NE,0,0,0,NA,3,70
2000,10,31,NE,1,0,0,250000,9,150
2000,10,31,KS,0,0,0,NA,0.3,50
2000,10,31,NE,2,0,0,120000,23,220
2000,10,31,KS,0,0,0,NA,0.7,70
2000,10,31,NE,0,0,0,30000,2,40
2000,10,31,NE,2,0,0,1000000,12,250
2000,10,31,NE,1,0,0,750000,12,250
2000,10,31,IA,1,0,0,40000,2.5,70
2000,10,3,FL,1,0,0,20000,0.5,20
2000,10,3,FL,0,0,0,NA,0.2,0
2000,10,3,FL,0,0,0,NA,0.2,0
2000,10,3,FL,0,0,0,NA,0.2,10
2000,10,5,IL,0,0,0,NA,0.2,30
2000,10,6,TX,0,0,0,NA,0.1,0
2000,10,9,OR,1,0,0,50000,0.1,70
2000,10,9,OR,1,0,0,40000,0.1,70
2000,11,10,CA,1,0,0,70000,0.4,30
2000,11,12,TX,0,0,0,30000,0.5,50
2000,11,12,TX,0,0,0,20000,0.5,30
2000,11,12,TX,0,0,0,10000,1,30
2000,11,12,TX,0,0,0,NA,0.2,20
2000,11,12,TX,0,0,0,NA,0.3,20
2000,11,12,TX,0,0,0,10000,0.5,50
2000,11,12,TX,0,0,0,NA,0.3,20
2000,11,12,TX,0,0,0,NA,0.3,20
2000,11,12,TX,0,0,0,10000,0.5,50
2000,11,12,TX,0,0,0,NA,0.3,20
2000,11,12,TX,0,0,0,10000,0.2,20
2000,11,12,TX,0,0,0,10000,0.5,30
2000,11,16,LA,1,0,0,50000,0.3,50
2000,11,23,TX,0,0,0,100000,0.5,50
2000,11,24,TX,1,1,0,250000,1,50
2000,11,24,TX,1,0,0,350000,1,150
2000,11,24,TX,1,0,0,70000,3,10
2000,11,24,AL,0,0,0,10000,0.2,200
2000,11,25,FL,0,0,0,100000,0.5,10
2000,11,1,ND,1,2,0,NA,3,50
2000,11,1,ND,1,0,0,60000,22,100
2000,11,1,ND,0,0,0,NA,2,40
2000,11,1,ND,0,0,0,NA,12,40
2000,11,1,ND,0,0,0,NA,20,40
2000,11,1,MN,1,0,0,NA,0.5,30
2000,11,3,TX,1,2,0,80000,2.3,30
2000,11,5,TX,0,0,0,80000,1.5,50
2000,11,5,NE,0,0,0,NA,0.1,20
2000,11,5,TX,1,0,0,30000,0.5,50
2000,11,5,TX,0,0,0,10000,0.5,50
2000,11,6,LA,2,3,0,200000,3,20
2000,11,6,LA,1,0,0,70000,1,30
2000,11,6,AL,2,2,0,100000,1.5,300
2000,11,8,AL,1,0,0,150000,1,100
2000,11,8,AL,0,0,0,10000,1,100
2000,11,8,AL,1,0,0,200000,2.5,200
2000,11,8,AL,0,0,0,NA,0.1,50
2000,11,8,LA,2,0,0,170000,25,500
2000,11,8,MS,0,0,0,1000,1,10
2000,11,8,AL,0,0,0,10000,1,40
2000,11,9,MS,0,0,0,3000,0.5,50
2000,11,9,AL,1,0,0,100000,1.9,70
2000,11,9,KY,1,0,0,70000,2,70
2000,11,9,KY,1,0,0,30000,2,70
2000,11,9,KY,1,0,0,150000,2,70
2000,11,9,KY,1,0,0,100000,0.3,70
2000,11,9,KY,1,0,0,20000,2,70
2000,11,9,KY,1,1,0,10000,1.5,70
2000,11,9,KY,1,0,0,3000,0.8,70
2000,12,15,ID,0,0,0,NA,1,30
2000,12,16,AL,2,9,1,2500000,4.5,100
2000,12,16,AL,2,0,0,4950000,29,170
2000,12,16,MS,2,17,0,2100000,12,440
2000,12,16,AL,1,0,0,100000,5.1,30
2000,12,16,AL,2,0,0,150000,4.8,60
2000,12,16,AL,4,144,11,12500000,18,750
2000,12,16,FL,0,0,0,3000,0.2,50
2000,12,16,TN,1,0,0,50000,1.5,50
2000,12,16,FL,2,0,0,750000,3,100
2000,12,16,AL,0,0,0,4000,0.7,30
2000,12,16,FL,1,0,0,300000,5,70
2000,12,16,AL,2,2,0,170000,8.5,200
2000,12,16,AL,3,14,0,10040000,12.8,500
2000,12,16,AL,0,0,0,NA,0.3,20
2000,12,16,GA,2,0,0,750000,6,70
2000,12,16,AL,0,0,0,NA,0.2,20
2000,12,16,AL,0,0,0,10000,0.7,50
2000,12,16,AL,0,0,0,10000,1,40
2000,12,16,GA,2,0,0,310000,10,100
2000,12,16,SC,0,0,0,NA,0.1,0
2000,12,16,NC,0,0,0,NA,0.1,20
2000,12,16,NC,0,0,0,NA,0.1,20
2000,12,16,GA,2,8,0,NA,2,60
2000,12,16,NC,0,0,0,NA,0.1,20
2000,12,26,TX,0,0,0,NA,5.4,10
2000,1,16,WA,1,0,0,100000,1,50
2000,1,24,FL,1,0,0,500000,2.5,70
2000,1,3,AR,1,0,0,NA,4.8,40
2000,1,3,AR,1,0,0,NA,1.8,40
2000,1,3,AR,1,0,0,NA,2,40
2000,1,3,AR,1,0,0,NA,3.1,40
2000,1,3,MS,1,0,0,40000,3,150
2000,1,3,IN,1,0,0,50000,0.3,50
2000,1,3,MS,3,0,0,450000,43.2,500
2000,1,3,KY,3,3,0,7400000,24,440
2000,1,3,KY,3,18,0,64000000,7,880
2000,1,3,MS,2,0,0,170000,6,210
2000,1,3,MS,0,0,0,1000,0.1,20
2000,1,9,AL,0,1,0,20000,0.1,20
2000,1,9,AL,0,0,0,NA,1,30
2000,1,9,AL,1,0,0,500000,6.5,300
2000,2,10,NV,0,0,0,NA,0.5,10
2000,2,13,AL,1,0,0,100000,11.4,300
2000,2,13,AL,0,0,0,20000,3,100
2000,2,13,AL,0,0,0,10000,1,50
2000,2,13,AR,0,0,0,NA,2.2,40
2000,2,13,AR,2,2,0,NA,32.7,100
2000,2,13,TN,1,1,0,500000,4.3,200
2000,2,13,FL,1,0,0,300000,0.5,50
2000,2,13,FL,1,0,0,750000,0.5,50
2000,2,13,GA,1,1,0,1000000,0.2,50
2000,2,13,GA,3,175,11,20000000,9.2,300
2000,2,13,GA,3,15,7,5000000,15,300
2000,2,14,GA,1,0,0,70000,2,50
2000,2,14,GA,2,0,1,2500000,6,200
2000,2,14,GA,0,0,0,NA,0,0
2000,2,14,SC,0,0,0,NA,0.2,50
2000,2,14,NC,0,0,0,NA,0.1,0
2000,2,14,NC,0,0,0,NA,0.1,0
2000,2,14,ID,0,0,0,380000,9,100
2000,2,14,ID,1,0,0,2200000,14,300
2000,2,14,ID,0,0,0,110000,5,50
2000,2,14,ID,1,0,0,500000,12,200
2000,2,14,ID,1,1,0,280000,9,200
2000,2,16,CA,0,0,0,NA,0.5,10
2000,2,18,AR,1,9,0,NA,7.8,70
2000,2,18,AR,0,0,0,NA,0.3,40
2000,2,18,AR,0,0,0,NA,0.5,50
2000,2,18,AR,0,0,0,30000,1,20
2000,2,18,MS,0,0,0,NA,1,20
2000,2,18,MS,0,0,0,10000,1,40
2000,2,18,MS,0,0,0,NA,1,20
2000,2,18,MS,0,0,0,NA,1,20
2000,2,18,MS,0,0,0,NA,1,40
2000,2,22,FL,0,0,0,NA,0.1,10
2000,2,22,TX,0,0,0,NA,4,100
2000,2,22,TX,0,0,0,NA,2,40
2000,2,22,TX,0,0,0,NA,0.1,0
2000,2,22,TX,0,0,0,10000,12,0
2000,2,22,TX,0,0,0,NA,0.1,20
2000,2,23,PR,0,0,0,NA,0.2,10
2000,2,24,TX,0,0,0,NA,2,20
2000,2,24,TX,1,0,0,90000,27,150
2000,2,25,OK,1,0,0,100000,0.2,100
2000,2,25,MO,0,0,0,60000,1,100
2000,2,25,MO,1,0,0,500000,5,100
2000,2,25,MO,0,0,0,NA,0.2,50
2000,2,25,MO,0,0,0,NA,7,70
2000,2,25,MO,1,0,0,NA,3,100
2000,2,26,AR,1,0,0,NA,0.3,30
2000,2,26,AR,1,0,0,NA,0.2,20
