state,name,type,city,county,enroll,mmr,xmed,xper
California,Abby Reinke Elementary,Public,Temecula,Riverside,137,99,2,0
California,Abraham Lincoln Elementary,Public,Santa Ana,Orange,135,99,1,0
California,Achieve Academy,Public,Oakland,Alameda,116,99,1,0
California,Ada Clegg Elementary,Public,Huntington Beach,Orange,100,99,0,0
California,Adam William Laird Elementary,Public,Santa Maria,Santa Barbara,121,99,1,0
California,Adams Elementary,Public,Santa Barbara,Santa Barbara,126,99,1,0
California,Addams Elementary,Public,Fresno,Fresno,124,99,0,0
California,Agua Caliente Elementary,Public,Cathedral City,Riverside,118,99,1,0
California,Akira Yokomi Elementary,Public,Fresno,Fresno,105,99,1,0
California,Alamos Elementary,Public,Murrieta,Riverside,149,99,1,0
California,Alexandria Avenue Elementary,Public,Los Angeles,Los Angeles,144,99,1,0
California,Alicante Avenue Elementary,Public,Lamont,Kern,161,99,1,0
California,Alice Birney Elementary,Public,Colton,San Bernardino,102,99,1,0
California,Alisal Community,Public,Salinas,Monterey,110,99,1,0
California,Almond Elementary,Public,Fontana,San Bernardino,156,99,0,0
California,Almond Grove Elementary,Public,Oakley,Contra Costa,101,99,2,0
California,Alpha Elementary,Public,Madera,Madera,130,99,1,0
California,Alpine Vista,Public,Tulare,Tulare,121,99,1,0
California,Alta Loma Elementary,Public,Alta Loma,San Bernardino,145,99,1,0
California,Alta Vista Elementary,Public,Redondo Beach,Los Angeles,104,99,1,0
California,Altamont Creek Elementary,Public,Livermore,Alameda,128,99,1,0
California,Alvarado Elementary,Public,Union City,Alameda,124,99,1,0
California,Alvin Elementary,Public,Santa Maria,Santa Barbara,176,99,1,0
California,Amelia Earhart Elementary,Public,Alameda,Alameda,149,99,1,0
California,Amestoy Elementary,Public,Gardena,Los Angeles,128,99,0,0
California,Andrew Jackson Elementary,Public,Santa Ana,Orange,124,99,0,0
California,Andrew Jackson Elementary,Public,Indio,Riverside,158,99,1,0
California,Andros Karperos,Public,Yuba City,Sutter,107,99,1,0
California,Anna Kirchgater Elementary,Public,Sacramento,Sacramento,105,99,0,0
California,Anna Kyle Elementary,Public,Fairfield,Solano,123,99,0,0
California,Anna M. Glazier Elementary,Public,Norwalk,Los Angeles,116,99,1,0
California,Annie E. Cheney Kindergarten,Public,Coalinga,Fresno,124,99,1,0
California,Annie R. Mitchell,Public,Visalia,Tulare,127,99,0,0
California,Ansgar Larsen Elementary,Public,Oxnard,Ventura,130,99,1,0
California,Antonio Del Buono Elementary,Public,Gilroy,Santa Clara,122,99,1,0
California,Anza Elementary,Public,Torrance,Los Angeles,123,99,1,0
California,Anza Elementary,Public,El Cajon,San Diego,117,99,1,0
California,Apricot Valley Elementary,Public,Patterson,Stanislaus,109,99,1,0
California,Ardenwood Elementary,Public,Fremont,Alameda,142,99,1,0
California,Arlene Hein Elementary,Public,Elk Grove,Sacramento,145,99,1,0
California,Arma J. Shull Elementary,Public,San Dimas,Los Angeles,100,99,1,0
California,Armada Elementary,Public,Moreno Valley,Riverside,172,99,1,0
California,Armona Elementary,Public,Armona,Kings,137,99,1,0
California,Arroyo Seco Elementary,Public,Livermore,Alameda,131,99,1,0
California,Arroyo Verde Elementary,Public,Highland,San Bernardino,112,99,1,0
California,Arroyo Vista Charter,Public,Chula Vista,San Diego,158,99,1,0
California,Art Haycox Elementary,Public,Oxnard,Ventura,173,99,1,0
California,Arthur C. Butler Elementary,Public,Elk Grove,Sacramento,152,99,1,0
California,Arthur Hapgood Elementary,Public,Lompoc,Santa Barbara,130,99,1,0
California,Arundel Elementary,Public,San Carlos,San Mateo,109,99,1,0
California,Ascot Avenue Elementary,Public,Los Angeles,Los Angeles,169,99,1,0
California,Aspire River Oaks Charter,Public,Stockton,San Joaquin,125,99,1,0
California,Audubon Elementary,Public,Foster City,San Mateo,155,99,1,0
California,Avenal Elementary,Public,Avenal,Kings,121,99,1,0
California,Avocado Elementary,Public,La Mesa,San Diego,120,99,1,0
California,Aynesworth Elementary,Public,Fresno,Fresno,104,99,1,0
California,Balboa Elementary,Public,Glendale,Los Angeles,115,99,1,0
California,Balboa Elementary,Public,San Diego,San Diego,100,99,1,0
California,Baldwin Academy,Public,La Puente,Los Angeles,131,99,0,0
California,Baldwin Stocker Elementary,Public,Arcadia,Los Angeles,122,99,1,0
California,Bancroft Elementary,Public,Walnut Creek,Contra Costa,125,99,1,0
California,Bardin Elementary,Public,Salinas,Monterey,110,99,1,0
California,Barrel Springs Elementary,Public,Palmdale,Los Angeles,114,99,1,0
California,Barton Clara Elementary,Public,Anaheim,Orange,107,99,0,0
California,Bassett Street Elementary,Public,Lake Balboa,Los Angeles,174,99,0,0
California,Battles Washington Elementary,Public,Santa Maria,Santa Barbara,108,99,1,0
California,Bay Elementary,Public,San Lorenzo,Alameda,100,99,1,0
